"","parent","cluster","depth","cellID","color"
"1","4","5","1","1","#A0C3FF"
"2","4","5","3","2","#619CFF"
"3","5","1","7","3","#FBBAB6"
"4","5","1","5","4","#FCD5D3"
"5","4","5","0","5","#BFD7FF"
"6","5","6","5","6","#F9A2EE"
"7","5","1","5","7","#FCD5D3"
"8","5","1","9","8","#FA9F98"
"9","5","1","6","9","#FCC8C4"
"10","4","5","0","10","#BFD7FF"
"11","4","5","2","11","#80AFFF"
"12","6","2","8","12","#E7DFAA"
"13","5","1","10","13","#F9918A"
"14","5","1","5","14","#FCD5D3"
"15","4","5","2","15","#80AFFF"
"16","4","5","2","16","#80AFFF"
"17","5","1","10","17","#F9918A"
"18","5","1","8","18","#FAACA7"
"19","4","5","3","19","#619CFF"
"20","5","1","7","20","#FBBAB6"
"21","4","5","0","21","#BFD7FF"
"22","4","5","0","22","#BFD7FF"
"23","4","5","0","23","#BFD7FF"
"24","4","5","0","24","#BFD7FF"
"25","4","5","0","25","#BFD7FF"
"26","5","1","6","26","#FCC8C4"
"27","4","5","1","27","#A0C3FF"
"28","4","5","0","28","#BFD7FF"
"29","4","5","0","29","#BFD7FF"
"30","4","5","3","30","#619CFF"
"31","6","2","12","31","#B79F00"
"32","5","6","6","32","#F783E8"
"33","5","1","12","33","#F8766D"
"34","5","1","6","34","#FCC8C4"
"35","5","1","11","35","#F8837B"
"36","5","1","11","36","#F8837B"
"37","5","1","9","37","#FA9F98"
"38","5","1","9","38","#FA9F98"
"39","5","1","10","39","#F9918A"
"40","5","1","9","40","#FA9F98"
"41","5","1","10","41","#F9918A"
"42","5","1","5","42","#FCD5D3"
"43","5","1","5","43","#FCD5D3"
"44","5","1","9","44","#FA9F98"
"45","5","1","4","45","#FDE3E1"
"46","4","5","3","46","#619CFF"
"47","6","3","8","47","#AAE8BC"
"48","6","3","8","48","#AAE8BC"
"49","5","6","4","49","#FBC1F3"
"50","4","5","2","50","#80AFFF"
"51","4","5","2","51","#80AFFF"
"52","5","1","7","52","#FBBAB6"
"53","5","1","7","53","#FBBAB6"
"54","5","1","9","54","#FA9F98"
"55","5","1","4","55","#FDE3E1"
"56","4","5","2","56","#80AFFF"
"57","4","5","0","57","#BFD7FF"
"58","4","5","1","58","#A0C3FF"
"59","4","5","0","59","#BFD7FF"
"60","4","5","0","60","#BFD7FF"
"61","4","5","2","61","#80AFFF"
"62","4","5","0","62","#BFD7FF"
"63","4","5","0","63","#BFD7FF"
"64","5","6","4","64","#FBC1F3"
"65","5","1","12","65","#F8766D"
"66","5","1","12","66","#F8766D"
"67","5","1","9","67","#FA9F98"
"68","5","1","9","68","#FA9F98"
"69","5","1","12","69","#F8766D"
"70","5","1","12","70","#F8766D"
"71","5","1","12","71","#F8766D"
"72","5","1","12","72","#F8766D"
"73","5","1","11","73","#F8837B"
"74","5","1","10","74","#F9918A"
"75","5","1","4","75","#FDE3E1"
"76","5","1","4","76","#FDE3E1"
"77","5","1","4","77","#FDE3E1"
"78","5","1","8","78","#FAACA7"
"79","5","1","4","79","#FDE3E1"
"80","5","1","4","80","#FDE3E1"
"81","5","1","9","81","#FA9F98"
"82","5","1","9","82","#FA9F98"
"83","5","1","9","83","#FA9F98"
"84","5","1","12","84","#F8766D"
"85","5","1","9","85","#FA9F98"
"86","5","1","9","86","#FA9F98"
"87","5","1","9","87","#FA9F98"
"88","5","1","9","88","#FA9F98"
"89","5","1","4","89","#FDE3E1"
"90","5","1","4","90","#FDE3E1"
"91","5","1","4","91","#FDE3E1"
"92","5","1","4","92","#FDE3E1"
"93","5","1","6","93","#FCC8C4"
"94","5","1","6","94","#FCC8C4"
"95","5","1","4","95","#FDE3E1"
"96","5","1","9","96","#FA9F98"
"97","5","1","12","97","#F8766D"
"98","5","1","12","98","#F8766D"
"99","5","1","10","99","#F9918A"
"100","5","1","7","100","#FBBAB6"
"101","5","1","12","101","#F8766D"
"102","5","1","9","102","#FA9F98"
"103","5","1","4","103","#FDE3E1"
"104","5","1","4","104","#FDE3E1"
"105","5","1","4","105","#FDE3E1"
"106","5","1","4","106","#FDE3E1"
"107","5","1","4","107","#FDE3E1"
"108","5","1","9","108","#FA9F98"
"109","5","1","8","109","#FAACA7"
"110","5","1","9","110","#FA9F98"
"111","5","1","12","111","#F8766D"
"112","5","1","12","112","#F8766D"
"113","5","1","12","113","#F8766D"
"114","5","1","6","114","#FCC8C4"
"115","5","1","6","115","#FCC8C4"
"116","5","1","6","116","#FCC8C4"
"117","5","1","6","117","#FCC8C4"
