"","parent","cluster","depth","cellID","color"
"1","5","1","4","1","#FDE3E1"
"2","4","5","0","2","#BFD7FF"
"3","5","6","4","3","#FBC1F3"
"4","5","6","4","4","#FBC1F3"
"5","4","5","0","5","#BFD7FF"
"6","5","6","5","6","#F9A2EE"
"7","5","1","9","7","#FA9F98"
"8","5","1","6","8","#FCC8C4"
"9","4","5","1","9","#A0C3FF"
"10","4","5","1","10","#A0C3FF"
"11","4","5","0","11","#BFD7FF"
"12","4","5","0","12","#BFD7FF"
"13","4","5","0","13","#BFD7FF"
"14","4","5","0","14","#BFD7FF"
"15","5","1","5","15","#FCD5D3"
"16","5","1","5","16","#FCD5D3"
"17","5","6","7","17","#F564E3"
"18","6","3","12","18","#00BA38"
"19","5","6","7","19","#F564E3"
"20","5","6","7","20","#F564E3"
"21","5","6","7","21","#F564E3"
"22","5","6","7","22","#F564E3"
"23","5","6","4","23","#FBC1F3"
"24","5","6","4","24","#FBC1F3"
"25","6","2","9","25","#DBCF7F"
"26","4","5","3","26","#619CFF"
"27","5","1","7","27","#FBBAB6"
"28","5","1","7","28","#FBBAB6"
"29","4","5","3","29","#619CFF"
"30","5","1","9","30","#FA9F98"
"31","5","1","5","31","#FCD5D3"
"32","4","5","3","32","#619CFF"
"33","6","3","10","33","#55D17A"
"34","5","6","5","34","#F9A2EE"
"35","5","6","5","35","#F9A2EE"
"36","5","6","7","36","#F564E3"
"37","4","5","0","37","#BFD7FF"
"38","5","6","5","38","#F9A2EE"
"39","5","1","4","39","#FDE3E1"
"40","5","1","4","40","#FDE3E1"
"41","5","1","4","41","#FDE3E1"
"42","4","5","2","42","#80AFFF"
"43","5","1","4","43","#FDE3E1"
"44","5","1","10","44","#F9918A"
"45","5","6","4","45","#FBC1F3"
"46","4","5","2","46","#80AFFF"
"47","5","6","6","47","#F783E8"
"48","4","5","0","48","#BFD7FF"
"49","4","5","0","49","#BFD7FF"
"50","4","5","1","50","#A0C3FF"
"51","4","5","2","51","#80AFFF"
"52","5","6","6","52","#F783E8"
"53","4","5","0","53","#BFD7FF"
"54","4","5","0","54","#BFD7FF"
"55","5","1","5","55","#FCD5D3"
"56","5","1","5","56","#FCD5D3"
"57","4","5","0","57","#BFD7FF"
"58","5","6","6","58","#F783E8"
"59","4","5","1","59","#A0C3FF"
"60","4","5","0","60","#BFD7FF"
"61","4","5","0","61","#BFD7FF"
"62","4","5","0","62","#BFD7FF"
"63","4","5","2","63","#80AFFF"
"64","4","5","3","64","#619CFF"
"65","5","6","7","65","#F564E3"
"66","5","6","7","66","#F564E3"
"67","5","6","6","67","#F783E8"
"68","5","6","6","68","#F783E8"
"69","5","6","6","69","#F783E8"
"70","5","6","6","70","#F783E8"
"71","6","3","11","71","#2AC559"
"72","6","3","11","72","#2AC559"
"73","6","2","9","73","#DBCF7F"
"74","6","2","9","74","#DBCF7F"
"75","6","2","12","75","#B79F00"
"76","6","2","12","76","#B79F00"
"77","6","2","9","77","#DBCF7F"
"78","6","2","9","78","#DBCF7F"
"79","6","2","9","79","#DBCF7F"
"80","6","2","9","80","#DBCF7F"
"81","6","2","12","81","#B79F00"
"82","6","2","12","82","#B79F00"
"83","6","2","12","83","#B79F00"
"84","6","2","12","84","#B79F00"
"85","6","2","12","85","#B79F00"
"86","6","2","12","86","#B79F00"
"87","6","2","12","87","#B79F00"
"88","6","2","12","88","#B79F00"
"89","6","2","11","89","#C3AF2A"
"90","6","2","12","90","#B79F00"
"91","6","2","11","91","#C3AF2A"
"92","6","2","11","92","#C3AF2A"
"93","6","2","11","93","#C3AF2A"
"94","6","2","11","94","#C3AF2A"
"95","6","2","11","95","#C3AF2A"
"96","6","2","11","96","#C3AF2A"
"97","6","3","12","97","#00BA38"
"98","5","6","7","98","#F564E3"
"99","6","2","10","99","#CFBF55"
"100","5","6","4","100","#FBC1F3"
"101","6","2","12","101","#B79F00"
"102","6","2","11","102","#C3AF2A"
"103","6","2","9","103","#DBCF7F"
"104","6","2","9","104","#DBCF7F"
"105","6","3","12","105","#00BA38"
"106","5","6","6","106","#F783E8"
"107","4","5","3","107","#619CFF"
"108","4","5","2","108","#80AFFF"
"109","4","5","2","109","#80AFFF"
"110","5","1","8","110","#FAACA7"
"111","5","6","4","111","#FBC1F3"
"112","5","6","4","112","#FBC1F3"
"113","5","1","8","113","#FAACA7"
"114","4","5","3","114","#619CFF"
"115","4","5","1","115","#A0C3FF"
"116","5","1","4","116","#FDE3E1"
"117","5","1","5","117","#FCD5D3"
"118","5","1","9","118","#FA9F98"
"119","4","5","0","119","#BFD7FF"
"120","4","5","0","120","#BFD7FF"
"121","6","2","12","121","#B79F00"
"122","6","2","8","122","#E7DFAA"
"123","6","2","12","123","#B79F00"
"124","6","2","8","124","#E7DFAA"
"125","5","6","5","125","#F9A2EE"
"126","6","3","9","126","#7FDC9B"
"127","6","2","10","127","#CFBF55"
"128","6","2","12","128","#B79F00"
"129","5","1","11","129","#F8837B"
"130","5","1","11","130","#F8837B"
"131","5","1","11","131","#F8837B"
"132","5","1","11","132","#F8837B"
"133","5","1","12","133","#F8766D"
"134","5","1","12","134","#F8766D"
"135","5","1","12","135","#F8766D"
"136","5","1","12","136","#F8766D"
"137","5","1","6","137","#FCC8C4"
"138","5","1","6","138","#FCC8C4"
"139","5","1","6","139","#FCC8C4"
"140","5","1","6","140","#FCC8C4"
"141","5","1","11","141","#F8837B"
"142","5","1","10","142","#F9918A"
"143","5","1","12","143","#F8766D"
"144","5","1","12","144","#F8766D"
"145","5","1","6","145","#FCC8C4"
"146","5","1","11","146","#F8837B"
"147","5","1","6","147","#FCC8C4"
"148","5","1","6","148","#FCC8C4"
"149","5","1","9","149","#FA9F98"
"150","5","1","6","150","#FCC8C4"
"151","5","1","7","151","#FBBAB6"
"152","5","1","6","152","#FCC8C4"
"153","5","1","12","153","#F8766D"
"154","5","1","12","154","#F8766D"
"155","5","1","12","155","#F8766D"
"156","5","1","12","156","#F8766D"
"157","5","1","12","157","#F8766D"
"158","5","1","12","158","#F8766D"
"159","5","1","12","159","#F8766D"
"160","5","1","12","160","#F8766D"
"161","6","3","12","161","#00BA38"
"162","6","3","12","162","#00BA38"
"163","6","3","8","163","#AAE8BC"
"164","6","3","8","164","#AAE8BC"
"165","4","5","2","165","#80AFFF"
"166","5","6","6","166","#F783E8"
"167","5","1","5","167","#FCD5D3"
