"","parent","cluster","depth","cellID","color"
"1","5","6","7","1","#F564E3"
"2","5","6","7","2","#F564E3"
"3","6","3","12","3","#00BA38"
"4","6","3","12","4","#00BA38"
"5","6","2","9","5","#DBCF7F"
"6","6","2","11","6","#C3AF2A"
"7","6","2","9","7","#DBCF7F"
"8","6","2","10","8","#CFBF55"
"9","6","2","9","9","#DBCF7F"
"10","5","6","7","10","#F564E3"
"11","5","6","7","11","#F564E3"
"12","6","2","12","12","#B79F00"
"13","5","6","7","13","#F564E3"
"14","5","6","7","14","#F564E3"
"15","6","3","10","15","#55D17A"
"16","6","3","10","16","#55D17A"
"17","5","6","5","17","#F9A2EE"
"18","5","6","5","18","#F9A2EE"
"19","5","6","5","19","#F9A2EE"
"20","5","6","5","20","#F9A2EE"
"21","6","2","10","21","#CFBF55"
"22","6","2","8","22","#E7DFAA"
"23","5","6","5","23","#F9A2EE"
"24","5","6","5","24","#F9A2EE"
"25","5","6","5","25","#F9A2EE"
"26","5","6","7","26","#F564E3"
"27","6","2","10","27","#CFBF55"
"28","5","6","5","28","#F9A2EE"
"29","6","3","9","29","#7FDC9B"
"30","5","6","5","30","#F9A2EE"
"31","5","6","5","31","#F9A2EE"
"32","6","2","10","32","#CFBF55"
"33","6","2","12","33","#B79F00"
"34","6","2","12","34","#B79F00"
"35","6","2","12","35","#B79F00"
"36","6","2","10","36","#CFBF55"
"37","6","2","10","37","#CFBF55"
"38","6","2","12","38","#B79F00"
"39","6","2","10","39","#CFBF55"
"40","6","2","10","40","#CFBF55"
"41","6","2","12","41","#B79F00"
"42","6","2","12","42","#B79F00"
"43","6","2","12","43","#B79F00"
"44","6","2","12","44","#B79F00"
"45","6","2","12","45","#B79F00"
"46","6","2","12","46","#B79F00"
"47","6","2","12","47","#B79F00"
"48","6","2","12","48","#B79F00"
"49","6","2","12","49","#B79F00"
"50","6","2","11","50","#C3AF2A"
"51","6","2","11","51","#C3AF2A"
"52","6","2","11","52","#C3AF2A"
"53","6","2","11","53","#C3AF2A"
"54","6","2","12","54","#B79F00"
"55","6","2","12","55","#B79F00"
"56","6","2","12","56","#B79F00"
"57","6","2","12","57","#B79F00"
"58","6","2","12","58","#B79F00"
"59","6","2","12","59","#B79F00"
"60","6","2","12","60","#B79F00"
"61","6","2","12","61","#B79F00"
"62","6","2","9","62","#DBCF7F"
"63","6","2","11","63","#C3AF2A"
"64","6","2","9","64","#DBCF7F"
"65","5","1","4","65","#FDE3E1"
"66","5","1","4","66","#FDE3E1"
"67","4","5","1","67","#A0C3FF"
"68","4","5","0","68","#BFD7FF"
"69","4","5","0","69","#BFD7FF"
"70","4","5","2","70","#80AFFF"
"71","5","6","6","71","#F783E8"
"72","5","6","7","72","#F564E3"
"73","4","5","0","73","#BFD7FF"
"74","4","5","0","74","#BFD7FF"
"75","5","1","5","75","#FCD5D3"
"76","4","5","0","76","#BFD7FF"
"77","5","1","5","77","#FCD5D3"
"78","5","1","9","78","#FA9F98"
"79","5","1","11","79","#F8837B"
"80","5","1","12","80","#F8766D"
"81","6","2","8","81","#E7DFAA"
"82","6","2","8","82","#E7DFAA"
"83","4","5","3","83","#619CFF"
"84","4","5","3","84","#619CFF"
"85","6","3","8","85","#AAE8BC"
"86","6","3","9","86","#7FDC9B"
"87","6","3","8","87","#AAE8BC"
"88","6","3","12","88","#00BA38"
"89","4","5","3","89","#619CFF"
"90","4","5","2","90","#80AFFF"
"91","5","1","5","91","#FCD5D3"
"92","5","1","6","92","#FCC8C4"
"93","4","5","0","93","#BFD7FF"
"94","4","5","0","94","#BFD7FF"
"95","4","5","0","95","#BFD7FF"
"96","4","5","0","96","#BFD7FF"
"97","4","5","3","97","#619CFF"
"98","4","5","0","98","#BFD7FF"
"99","4","5","2","99","#80AFFF"
"100","5","6","6","100","#F783E8"
"101","4","5","0","101","#BFD7FF"
"102","5","6","5","102","#F9A2EE"
"103","5","1","6","103","#FCC8C4"
"104","4","5","0","104","#BFD7FF"
"105","5","1","5","105","#FCD5D3"
"106","5","1","5","106","#FCD5D3"
"107","5","1","9","107","#FA9F98"
"108","5","1","8","108","#FAACA7"
"109","5","1","5","109","#FCD5D3"
"110","5","1","5","110","#FCD5D3"
"111","5","1","9","111","#FA9F98"
"112","5","1","9","112","#FA9F98"
"113","4","5","2","113","#80AFFF"
"114","4","5","2","114","#80AFFF"
"115","5","1","8","115","#FAACA7"
"116","5","1","12","116","#F8766D"
"117","4","5","2","117","#80AFFF"
