Term,Adjusted P-value,Adjusted P-value using all genes
Cytoplasmic Translation (GO:0002181),1.7570374865635568e-06,0.1826572854881639
Macromolecule Biosynthetic Process (GO:0009059),5.888283074472553e-06,0.002001758969672
Translation (GO:0006412),5.928077701707579e-05,0.0180592738090375
Peptide Biosynthetic Process (GO:0043043),7.260893211376368e-05,0.0141511996789464
Positive Regulation Of Peptidase Activity (GO:0010952),0.00021168094718913684,0.0141511996789464
Gene Expression (GO:0010467),0.00035966827772592,0.0129725726745596
Negative Regulation Of Apoptotic Process (GO:0043066),0.0020222993005804,0.1142407112927253
Tight Junction Assembly (GO:0120192),0.0059050052123668,0.2116886582055866
Apical Junction Assembly (GO:0043297),0.0059050052123668,0.2173995056621017
Epithelium Development (GO:0060429),0.016078866913622,0.6593531280815934
Cellular Response To Heat (GO:0034605),0.0213730257231863,0.5433985212714465
Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules (GO:0016338),0.0324461352894496,0.4474848022536893
Bicellular Tight Junction Assembly (GO:0070830),0.0324461352894496,0.3255195120889065
Positive Regulation Of Amide Metabolic Process (GO:0034250),0.0324461352894496,0.1278549472424092
Epithelial Cell Differentiation (GO:0030855),0.0324461352894496,0.5133996719596713
Ribosome Assembly (GO:0042255),0.0340667495567682,0.4474848022536893
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),0.0340667495567682,0.4474848022536893
MAPK Cascade (GO:0000165),0.049040592819206,0.3386036590903055
