Term,Adjusted P-value,Adjusted P-value using all genes
Cytoplasmic Translation (GO:0002181),7.418409905577723e-43,1.4355126418322285e-59
Peptide Biosynthetic Process (GO:0043043),3.674335423230959e-34,1.958301412690381e-38
Macromolecule Biosynthetic Process (GO:0009059),3.674335423230959e-34,3.4962245119405257e-37
Translation (GO:0006412),2.1740680837849434e-28,7.947125811887529e-29
Gene Expression (GO:0010467),2.993225023074542e-23,2.1463527423846856e-26
Cholesterol Homeostasis (GO:0042632),9.496178596319603e-11,1.5807077092129387e-14
Sterol Homeostasis (GO:0055092),1.0101584585142792e-10,2.0492697128222105e-14
High-Density Lipoprotein Particle Remodeling (GO:0034375),2.718626119814789e-07,2.564958234886026e-05
Cholesterol Efflux (GO:0033344),2.718626119814789e-07,3.348786480438222e-09
Ribonucleoprotein Complex Biogenesis (GO:0022613),8.902484152224866e-07,7.829637085393431e-09
Phospholipid Efflux (GO:0033700),1.024255901505936e-06,2.796181197767271e-05
Triglyceride Homeostasis (GO:0070328),2.9419922501677443e-06,0.00013407460957946097
Acylglycerol Homeostasis (GO:0055090),8.472842849179332e-06,0.00011444290638280986
Ribosomal Small Subunit Biogenesis (GO:0042274),1.0343838714191887e-05,1.708882671571523e-07
Cholesterol Transport (GO:0030301),1.063457603412092e-05,3.416579164520824e-07
Reverse Cholesterol Transport (GO:0043691),1.142516557164408e-05,4.028747705389113e-05
Vitamin Transport (GO:0051180),1.452621997123908e-05,0.0010618596968923
Ribosome Biogenesis (GO:0042254),1.6331592704191384e-05,1.708882671571523e-07
Very-Low-Density Lipoprotein Particle Assembly (GO:0034379),2.1033968937511104e-05,3.038959583306982e-07
Ribosome Assembly (GO:0042255),9.279136793754596e-05,7.13815893692083e-05
Ribosomal Large Subunit Biogenesis (GO:0042273),0.0001604903897227101,0.0033644384103674
Positive Regulation Of CoA-transferase Activity (GO:1905920),0.0001604903897227101,0.0080533822686127
Regulation Of CoA-transferase Activity (GO:1905918),0.0001604903897227101,0.0080533822686127
Negative Regulation Of Cell-Cell Adhesion (GO:0022408),0.00019944819439714876,0.0201051898655692
Phospholipid Transport (GO:0015914),0.000271366518726325,0.0004210073599709385
Triglyceride Metabolic Process (GO:0006641),0.00041909583847242135,0.0119047273920426
High-Density Lipoprotein Particle Assembly (GO:0034380),0.0004801041831418451,0.0187821585918689
Cellular Response To Thyroid Hormone Stimulus (GO:0097067),0.0011828046590581,0.0054737516486259
Response To Thyroid Hormone (GO:0097066),0.0016919286608465,0.0007708867123566019
Acylglycerol Metabolic Process (GO:0006639),0.0023818999066317,0.1495432503828862
Carbohydrate Catabolic Process (GO:0016052),0.0023818999066317,0.0225804656592876
Protein Localization To Plasma Membrane (GO:0072659),0.0035271982435059,0.0305642830790089
N-acetylneuraminate Catabolic Process (GO:0019262),0.0041325563367776,0.0045796567651413
Glycolytic Process (GO:0006096),0.0043388561542313,0.0154329142224832
Protein Localization To Cell Periphery (GO:1990778),0.0043618474425507,0.0207067293432065
Secondary Alcohol Metabolic Process (GO:1902652),0.0045271955710655,0.0413243110712154
Proton Transmembrane Transport (GO:1902600),0.0055880863144183,1.9713688754416018e-07
Regulation Of Endodeoxyribonuclease Activity (GO:0032071),0.0057533577932423,0.0619152605809411
Amino Sugar Catabolic Process (GO:0046348),0.0057533577932423,0.0080533822686127
Fructose Metabolic Process (GO:0006000),0.0057533577932423,0.0619152605809411
Regulation Of Cdc42 Protein Signal Transduction (GO:0032489),0.0057533577932423,0.0619152605809411
Negative Regulation Of Catabolic Process (GO:0009895),0.0057545874617272,0.0525539727804902
Protein Transport (GO:0015031),0.0057545874617272,5.4855576094046295e-08
Regulation Of Early Endosome To Late Endosome Transport (GO:2000641),0.0077718043615034,0.040770176312176
Cobalamin Transport (GO:0015889),0.0077718043615034,0.0129999531285537
Triglyceride-Rich Lipoprotein Particle Remodeling (GO:0034370),0.0077718043615034,0.0129999531285537
Negative Regulation Of Lipase Activity (GO:0060192),0.0077718043615034,0.0798416657201405
Negative Regulation Of Ubiquitin Protein Ligase Activity (GO:1904667),0.0077718043615034,0.0129999531285537
Negative Regulation Of Viral Life Cycle (GO:1903901),0.0088778075246103,0.0119047273920426
Regulation Of Protein Localization To Plasma Membrane (GO:1903076),0.0095638607185194,0.018715242749129
Positive Regulation Of Signal Transduction By P53 Class Mediator (GO:1901798),0.0104074176266965,0.015033642809032
Leucine Transport (GO:0015820),0.0106363455423787,0.0187821585918689
Ribosomal Large Subunit Assembly (GO:0000027),0.011870107499993,0.0182795637516756
Sterol Metabolic Process (GO:0016125),0.011870107499993,0.1110137266584607
Transport Across Blood-Brain Barrier (GO:0150104),0.0126407793239888,0.0254878304162595
Regulation Of Cholesterol Transport (GO:0032374),0.013237037463788,0.0207067293432065
N-acetylneuraminate Metabolic Process (GO:0006054),0.013237037463788,0.0254273154296993
Branched-Chain Amino Acid Transport (GO:0015803),0.013237037463788,0.0254273154296993
Negative Regulation Of Cholesterol Transport (GO:0032375),0.013237037463788,0.0254273154296993
Negative Regulation Of Protein Metabolic Process (GO:0051248),0.0162315004555815,0.0503599884287688
rRNA Metabolic Process (GO:0016072),0.0166859340643405,5.178770758825056e-05
Negative Regulation Of Nitrogen Compound Metabolic Process (GO:0051172),0.0166859340643405,0.147750534443309
Sterol Transport (GO:0015918),0.0166859340643405,0.0271800580094549
Negative Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903051),0.0166859340643405,0.0912212560254388
protein-RNA Complex Assembly (GO:0022618),0.0173428378577941,0.00013407460957946097
