Term,Adjusted P-value,Adjusted P-value using all genes
Cytoplasmic Translation (GO:0002181),2.2635608646819807e-06,0.1826572854881639
Macromolecule Biosynthetic Process (GO:0009059),7.887961265409024e-05,0.002001758969672
Positive Regulation Of Peptidase Activity (GO:0010952),0.0003990768871273789,0.0141511996789464
Translation (GO:0006412),0.0004552807875757591,0.0180592738090375
Peptide Biosynthetic Process (GO:0043043),0.0007018589957006756,0.0141511996789464
Gene Expression (GO:0010467),0.0028512834032907,0.0129725726745596
Protein Stabilization (GO:0050821),0.0045887793161478,0.2324331294189097
Positive Regulation Of Amide Metabolic Process (GO:0034250),0.0059827238965641,0.1278549472424092
Tight Junction Assembly (GO:0120192),0.0059827238965641,0.2116886582055866
Apical Junction Assembly (GO:0043297),0.0059827238965641,0.2173995056621017
Negative Regulation Of Apoptotic Process (GO:0043066),0.0074837033706129,0.1142407112927253
Cellular Response To Heat (GO:0034605),0.0210016520038344,0.5433985212714465
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),0.0210016520038344,0.4474848022536893
Regulation Of Apoptotic Process (GO:0042981),0.0225638729103804,0.3386036590903055
Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557),0.0243284311769192,0.3663722295697449
Positive Regulation Of Cellular Biosynthetic Process (GO:0031328),0.0247308944322784,0.4241424045465394
Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules (GO:0016338),0.0247308944322784,0.4474848022536893
Positive Regulation Of DNA-templated Transcription (GO:0045893),0.0253680273457374,0.5105202221584255
Bicellular Tight Junction Assembly (GO:0070830),0.0254490738025604,0.3255195120889065
Regulation Of Programmed Cell Death (GO:0043067),0.0384804864457403,0.3663722295697449
Positive Regulation Of Protein Metabolic Process (GO:0051247),0.0384804864457403,0.4308446960206987
MAPK Cascade (GO:0000165),0.0448446655415134,0.3386036590903055
Positive Regulation Of Gene Expression (GO:0010628),0.0498528776242534,0.5782708238704584
Positive Regulation Of Response To Wounding (GO:1903036),0.0498528776242534,0.2116886582055866
Epithelium Development (GO:0060429),0.0498528776242534,0.6593531280815934
