Term,Adjusted P-value,Adjusted P-value using all genes
Cytoplasmic Translation (GO:0002181),1.4492182676834454e-06,0.1826572854881639
Macromolecule Biosynthetic Process (GO:0009059),4.753536524113406e-06,0.002001758969672
Translation (GO:0006412),4.808230558818628e-05,0.0180592738090375
Peptide Biosynthetic Process (GO:0043043),6.02430028233512e-05,0.0141511996789464
Positive Regulation Of Peptidase Activity (GO:0010952),0.0001866145337755233,0.0141511996789464
Gene Expression (GO:0010467),0.00029339303330642194,0.0129725726745596
Tight Junction Assembly (GO:0120192),0.0052183003962325,0.2116886582055866
Positive Regulation Of Cellular Respiration (GO:1901857),0.0052183003962325,0.2696992464089582
Apical Junction Assembly (GO:0043297),0.0052183003962325,0.2173995056621017
Negative Regulation Of Apoptotic Process (GO:0043066),0.0214018130559068,0.1142407112927253
Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules (GO:0016338),0.0313426976957209,0.4474848022536893
Bicellular Tight Junction Assembly (GO:0070830),0.0313426976957209,0.3255195120889065
Positive Regulation Of Amide Metabolic Process (GO:0034250),0.0313426976957209,0.1278549472424092
Ribosome Assembly (GO:0042255),0.035832673589546,0.4474848022536893
